LadlabID,ExclusionGroup,Notes,Gender,DOT,Lang1,Bilingual,Lang2,Location,Experimenter,Enterer,AudioRecorded,Age,AgeGroup,InfinityInterviewDone,HCReceivedSupport,Task,TaskType,TaskItem,Accuracy,Response,IsProductive.noerror,IsProductive.final,SuccessorKnower,EndlessKnower,Category,InfinityStage,DecadeCounter,DecadeKnowledge,EndlessPartial
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,WCN,practice,5,1,6,0,0,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,WCN,immediate,23,0,idk,0,0,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,WCN,immediate,40,0,idk,0,0,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,WCN,immediate,62,0,idk,0,0,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,WCN,immediate,70,0,7,0,0,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,WCN,immediate,37,0,8,0,0,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,WCN,immediate,29,0,7,0,0,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,WCN,immediate,86,0,idk,0,0,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,WCN,immediate,59,0,30,0,0,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,WCN,momentum,3,1,4,0,0,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,WCN,momentum,23,0,34,0,0,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,WCN,momentum,40,0,thirty-ten,0,0,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,WCN,momentum,62,0,7,0,0,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,WCN,momentum,70,0,4,0,0,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,WCN,momentum,37,0,8,0,0,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,WCN,momentum,29,0,7,0,0,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,WCN,momentum,86,0,70,0,0,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,WCN,momentum,59,0,30,0,0,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,A1,BiggestNumber,none,,7,0,0,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,B1,isBiggest,no,,yes,0,0,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,B2,EndOrForever,forever,,end,0,0,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,B2,Why,justification,,NR,0,0,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,C1,CanWeAddToBigNumber,yes,,no,0,0,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,C1,why,justification,,8,0,0,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,C2,CanWeAdd1toX,yes,,no,0,0,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,C2,why,justification,,NR,0,0,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,C3,CanKeepAdding1,yes,,yes,0,0,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,C3,why,justification,,NR,0,0,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,C3,WhatWouldHappen,justification,,"L, 2",0,0,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,D1,CanYouCountTens,yes,,NA,0,0,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,D2,CountingByTens,yes,,NA,0,0,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,D3,TenMoreThanTen,twenty,,NA,0,0,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,D4,TenTwenty,"30,40,50..",,NA,0,0,0,0,A Non-knower,1,NA,NA,0
010916-D5,include,,m,9/1/16,English,yes,Spanish,Museum,JC,JC,no,4.78,4.5-5y,yes,0,HC,spontaneous,raw,,1-111.,99,99,1,0,C Successor-only,3,NA,NA,1
010916-D5,include,,m,9/1/16,English,yes,Spanish,Museum,JC,JC,no,4.78,4.5-5y,yes,0,HC,spontaneous,noerror,,111,99,99,1,0,C Successor-only,3,NA,NA,1
010916-D5,include,,m,9/1/16,English,yes,Spanish,Museum,JC,JC,no,4.78,4.5-5y,yes,0,HC,spontaneous,consecutive,,111,99,99,1,0,C Successor-only,3,NA,NA,1
010916-D5,include,,m,9/1/16,English,yes,Spanish,Museum,JC,JC,no,4.78,4.5-5y,yes,0,HC,supported,raw,,NA,99,99,1,0,C Successor-only,3,NA,NA,1
010916-D5,include,,m,9/1/16,English,yes,Spanish,Museum,JC,JC,no,4.78,4.5-5y,yes,0,HC,supported,noerror,,NA,99,99,1,0,C Successor-only,3,NA,NA,1
010916-D5,include,,m,9/1/16,English,yes,Spanish,Museum,JC,JC,no,4.78,4.5-5y,yes,0,HC,spontaneous,IHC,,111,99,99,1,0,C Successor-only,3,NA,NA,1
010916-D5,include,,m,9/1/16,English,yes,Spanish,Museum,JC,JC,no,4.78,4.5-5y,yes,0,HC,spontaneous,decchangeerror,,NA,99,99,1,0,C Successor-only,3,NA,NA,1
010916-D5,include,,m,9/1/16,English,yes,Spanish,Museum,JC,JC,no,4.78,4.5-5y,yes,0,HC,productivity,classification,,prod,99,99,1,0,C Successor-only,3,NA,NA,1
010916-D5,include,,m,9/1/16,English,yes,Spanish,Museum,JC,JC,no,4.78,4.5-5y,yes,0,HC,supported,times,,NA,99,99,1,0,C Successor-only,3,NA,NA,1
010916-D5,include,,m,9/1/16,English,yes,Spanish,Museum,JC,JC,no,4.78,4.5-5y,yes,0,WCN,practice,1,1,2,99,99,1,0,C Successor-only,3,NA,NA,1
010916-D5,include,,m,9/1/16,English,yes,Spanish,Museum,JC,JC,no,4.78,4.5-5y,yes,0,WCN,practice,5,1,6,99,99,1,0,C Successor-only,3,NA,NA,1
010916-D5,include,,m,9/1/16,English,yes,Spanish,Museum,JC,JC,no,4.78,4.5-5y,yes,0,WCN,immediate,23,1,24,99,99,1,0,C Successor-only,3,NA,NA,1
010916-D5,include,,m,9/1/16,English,yes,Spanish,Museum,JC,JC,no,4.78,4.5-5y,yes,0,WCN,immediate,40,1,41,99,99,1,0,C Successor-only,3,NA,NA,1
010916-D5,include,,m,9/1/16,English,yes,Spanish,Museum,JC,JC,no,4.78,4.5-5y,yes,0,WCN,immediate,62,1,63,99,99,1,0,C Successor-only,3,NA,NA,1
010916-D5,include,,m,9/1/16,English,yes,Spanish,Museum,JC,JC,no,4.78,4.5-5y,yes,0,WCN,immediate,70,1,71,99,99,1,0,C Successor-only,3,NA,NA,1
010916-D5,include,,m,9/1/16,English,yes,Spanish,Museum,JC,JC,no,4.78,4.5-5y,yes,0,WCN,immediate,37,1,38,99,99,1,0,C Successor-only,3,NA,NA,1
010916-D5,include,,m,9/1/16,English,yes,Spanish,Museum,JC,JC,no,4.78,4.5-5y,yes,0,WCN,immediate,29,1,30,99,99,1,0,C Successor-only,3,NA,NA,1
010916-D5,include,,m,9/1/16,English,yes,Spanish,Museum,JC,JC,no,4.78,4.5-5y,yes,0,WCN,immediate,86,1,87,99,99,1,0,C Successor-only,3,NA,NA,1
010916-D5,include,,m,9/1/16,English,yes,Spanish,Museum,JC,JC,no,4.78,4.5-5y,yes,0,WCN,immediate,59,1,60,99,99,1,0,C Successor-only,3,NA,NA,1
010916-D5,include,,m,9/1/16,English,yes,Spanish,Museum,JC,JC,no,4.78,4.5-5y,yes,0,WCN,momentum,3,NA,NA,99,99,1,0,C Successor-only,3,NA,NA,1
010916-D5,include,,m,9/1/16,English,yes,Spanish,Museum,JC,JC,no,4.78,4.5-5y,yes,0,WCN,momentum,23,NA,NA,99,99,1,0,C Successor-only,3,NA,NA,1
010916-D5,include,,m,9/1/16,English,yes,Spanish,Museum,JC,JC,no,4.78,4.5-5y,yes,0,WCN,momentum,40,NA,NA,99,99,1,0,C Successor-only,3,NA,NA,1
010916-D5,include,,m,9/1/16,English,yes,Spanish,Museum,JC,JC,no,4.78,4.5-5y,yes,0,WCN,momentum,62,NA,NA,99,99,1,0,C Successor-only,3,NA,NA,1
010916-D5,include,,m,9/1/16,English,yes,Spanish,Museum,JC,JC,no,4.78,4.5-5y,yes,0,WCN,momentum,70,NA,NA,99,99,1,0,C Successor-only,3,NA,NA,1
010916-D5,include,,m,9/1/16,English,yes,Spanish,Museum,JC,JC,no,4.78,4.5-5y,yes,0,WCN,momentum,37,NA,NA,99,99,1,0,C Successor-only,3,NA,NA,1
010916-D5,include,,m,9/1/16,English,yes,Spanish,Museum,JC,JC,no,4.78,4.5-5y,yes,0,WCN,momentum,29,NA,NA,99,99,1,0,C Successor-only,3,NA,NA,1
010916-D5,include,,m,9/1/16,English,yes,Spanish,Museum,JC,JC,no,4.78,4.5-5y,yes,0,WCN,momentum,86,NA,NA,99,99,1,0,C Successor-only,3,NA,NA,1
010916-D5,include,,m,9/1/16,English,yes,Spanish,Museum,JC,JC,no,4.78,4.5-5y,yes,0,WCN,momentum,59,NA,NA,99,99,1,0,C Successor-only,3,NA,NA,1
010916-D5,include,,m,9/1/16,English,yes,Spanish,Museum,JC,JC,no,4.78,4.5-5y,yes,0,A1,BiggestNumber,NA,,one hundred hundreds,99,99,1,0,C Successor-only,3,NA,NA,1
010916-D5,include,,m,9/1/16,English,yes,Spanish,Museum,JC,JC,no,4.78,4.5-5y,yes,0,B1,isBiggest,NA,,IDK [Can you think of a bigger number?] Fifty three seventy one one thousand. [Is that the biggest number there could ever be?] nine thousand forty one fifty three. [Is that the biggest number there could ever be?] yes,99,99,1,0,C Successor-only,3,NA,NA,1
010916-D5,include,,m,9/1/16,English,yes,Spanish,Museum,JC,JC,no,4.78,4.5-5y,yes,0,B2,EndOrForever,NA,,forever,99,99,1,0,C Successor-only,3,NA,NA,1
010916-D5,include,,m,9/1/16,English,yes,Spanish,Museum,JC,JC,no,4.78,4.5-5y,yes,0,B2,Why,justification,,idk,99,99,1,0,C Successor-only,3,NA,NA,1
010916-D5,include,,m,9/1/16,English,yes,Spanish,Museum,JC,JC,no,4.78,4.5-5y,yes,0,C1,CanWeAddToBigNumber,NA,,yes,99,99,1,0,C Successor-only,3,NA,NA,1
010916-D5,include,,m,9/1/16,English,yes,Spanish,Museum,JC,JC,no,4.78,4.5-5y,yes,0,C1,why,justification,,NR,99,99,1,0,C Successor-only,3,NA,NA,1
010916-D5,include,,m,9/1/16,English,yes,Spanish,Museum,JC,JC,no,4.78,4.5-5y,yes,0,C2,CanWeAdd1toX,NA,,yes,99,99,1,0,C Successor-only,3,NA,NA,1
010916-D5,include,,m,9/1/16,English,yes,Spanish,Museum,JC,JC,no,4.78,4.5-5y,yes,0,C2,why,justification,,NR,99,99,1,0,C Successor-only,3,NA,NA,1
010916-D5,include,,m,9/1/16,English,yes,Spanish,Museum,JC,JC,no,4.78,4.5-5y,yes,0,C3,CanKeepAdding1,NA,,yes,99,99,1,0,C Successor-only,3,NA,NA,1
010916-D5,include,,m,9/1/16,English,yes,Spanish,Museum,JC,JC,no,4.78,4.5-5y,yes,0,C3,why,justification,,NR,99,99,1,0,C Successor-only,3,NA,NA,1
010916-D5,include,,m,9/1/16,English,yes,Spanish,Museum,JC,JC,no,4.78,4.5-5y,yes,0,C3,WhatWouldHappen,justification,,Get the biggest number in the world,99,99,1,0,C Successor-only,3,NA,NA,1
010916-D5,include,,m,9/1/16,English,yes,Spanish,Museum,JC,JC,no,4.78,4.5-5y,yes,0,D1,CanYouCountTens,NA,,NA,99,99,1,0,C Successor-only,3,NA,NA,1
010916-D5,include,,m,9/1/16,English,yes,Spanish,Museum,JC,JC,no,4.78,4.5-5y,yes,0,D2,CountingByTens,NA,,NA,99,99,1,0,C Successor-only,3,NA,NA,1
010916-D5,include,,m,9/1/16,English,yes,Spanish,Museum,JC,JC,no,4.78,4.5-5y,yes,0,D3,TenMoreThanTen,NA,,NA,99,99,1,0,C Successor-only,3,NA,NA,1
010916-D5,include,,m,9/1/16,English,yes,Spanish,Museum,JC,JC,no,4.78,4.5-5y,yes,0,D4,TenTwenty,NA,,NA,99,99,1,0,C Successor-only,3,NA,NA,1
011216-KD1,include,,f,12/1/16,English,no,NA,Museum,JC,JC,no,4,4-4.5y,yes,0,HC,spontaneous,raw,,"1-5,11,12,16,9,12,16.",0,0,1,0,C Successor-only,3,NA,NA,0
011216-KD1,include,,f,12/1/16,English,no,NA,Museum,JC,JC,no,4,4-4.5y,yes,0,HC,spontaneous,noerror,,5,0,0,1,0,C Successor-only,3,NA,NA,0
011216-KD1,include,,f,12/1/16,English,no,NA,Museum,JC,JC,no,4,4-4.5y,yes,0,HC,spontaneous,consecutive,,5,0,0,1,0,C Successor-only,3,NA,NA,0
011216-KD1,include,,f,12/1/16,English,no,NA,Museum,JC,JC,no,4,4-4.5y,yes,0,HC,supported,raw,,NA,0,0,1,0,C Successor-only,3,NA,NA,0
011216-KD1,include,,f,12/1/16,English,no,NA,Museum,JC,JC,no,4,4-4.5y,yes,0,HC,supported,noerror,,NA,0,0,1,0,C Successor-only,3,NA,NA,0
011216-KD1,include,,f,12/1/16,English,no,NA,Museum,JC,JC,no,4,4-4.5y,yes,0,HC,spontaneous,IHC,,5,0,0,1,0,C Successor-only,3,NA,NA,0
011216-KD1,include,,f,12/1/16,English,no,NA,Museum,JC,JC,no,4,4-4.5y,yes,0,HC,spontaneous,decchangeerror,,NA,0,0,1,0,C Successor-only,3,NA,NA,0
011216-KD1,include,,f,12/1/16,English,no,NA,Museum,JC,JC,no,4,4-4.5y,yes,0,HC,productivity,classification,,NA,0,0,1,0,C Successor-only,3,NA,NA,0
011216-KD1,include,,f,12/1/16,English,no,NA,Museum,JC,JC,no,4,4-4.5y,yes,0,HC,supported,times,,NA,0,0,1,0,C Successor-only,3,NA,NA,0
011216-KD1,include,,f,12/1/16,English,no,NA,Museum,JC,JC,no,4,4-4.5y,yes,0,WCN,practice,1,1,2,0,0,1,0,C Successor-only,3,NA,NA,0
011216-KD1,include,,f,12/1/16,English,no,NA,Museum,JC,JC,no,4,4-4.5y,yes,0,WCN,practice,5,1,6,0,0,1,0,C Successor-only,3,NA,NA,0
011216-KD1,include,,f,12/1/16,English,no,NA,Museum,JC,JC,no,4,4-4.5y,yes,0,WCN,immediate,23,0,9,0,0,1,0,C Successor-only,3,NA,NA,0
011216-KD1,include,,f,12/1/16,English,no,NA,Museum,JC,JC,no,4,4-4.5y,yes,0,WCN,immediate,40,0,16,0,0,1,0,C Successor-only,3,NA,NA,0
011216-KD1,include,,f,12/1/16,English,no,NA,Museum,JC,JC,no,4,4-4.5y,yes,0,WCN,immediate,62,0,4,0,0,1,0,C Successor-only,3,NA,NA,0
011216-KD1,include,,f,12/1/16,English,no,NA,Museum,JC,JC,no,4,4-4.5y,yes,0,WCN,immediate,70,0,69,0,0,1,0,C Successor-only,3,NA,NA,0
011216-KD1,include,,f,12/1/16,English,no,NA,Museum,JC,JC,no,4,4-4.5y,yes,0,WCN,immediate,37,0,4,0,0,1,0,C Successor-only,3,NA,NA,0
011216-KD1,include,,f,12/1/16,English,no,NA,Museum,JC,JC,no,4,4-4.5y,yes,0,WCN,immediate,29,0,5,0,0,1,0,C Successor-only,3,NA,NA,0
011216-KD1,include,,f,12/1/16,English,no,NA,Museum,JC,JC,no,4,4-4.5y,yes,0,WCN,immediate,86,0,190,0,0,1,0,C Successor-only,3,NA,NA,0
011216-KD1,include,,f,12/1/16,English,no,NA,Museum,JC,JC,no,4,4-4.5y,yes,0,WCN,immediate,59,0,6,0,0,1,0,C Successor-only,3,NA,NA,0
011216-KD1,include,,f,12/1/16,English,no,NA,Museum,JC,JC,no,4,4-4.5y,yes,0,WCN,momentum,3,0,16,0,0,1,0,C Successor-only,3,NA,NA,0
011216-KD1,include,,f,12/1/16,English,no,NA,Museum,JC,JC,no,4,4-4.5y,yes,0,WCN,momentum,23,0,26,0,0,1,0,C Successor-only,3,NA,NA,0
011216-KD1,include,,f,12/1/16,English,no,NA,Museum,JC,JC,no,4,4-4.5y,yes,0,WCN,momentum,40,0,16,0,0,1,0,C Successor-only,3,NA,NA,0
011216-KD1,include,,f,12/1/16,English,no,NA,Museum,JC,JC,no,4,4-4.5y,yes,0,WCN,momentum,62,0,4,0,0,1,0,C Successor-only,3,NA,NA,0
011216-KD1,include,,f,12/1/16,English,no,NA,Museum,JC,JC,no,4,4-4.5y,yes,0,WCN,momentum,70,0,9,0,0,1,0,C Successor-only,3,NA,NA,0
011216-KD1,include,,f,12/1/16,English,no,NA,Museum,JC,JC,no,4,4-4.5y,yes,0,WCN,momentum,37,0,13,0,0,1,0,C Successor-only,3,NA,NA,0
011216-KD1,include,,f,12/1/16,English,no,NA,Museum,JC,JC,no,4,4-4.5y,yes,0,WCN,momentum,29,0,4,0,0,1,0,C Successor-only,3,NA,NA,0
011216-KD1,include,,f,12/1/16,English,no,NA,Museum,JC,JC,no,4,4-4.5y,yes,0,WCN,momentum,86,0,9,0,0,1,0,C Successor-only,3,NA,NA,0
011216-KD1,include,,f,12/1/16,English,no,NA,Museum,JC,JC,no,4,4-4.5y,yes,0,WCN,momentum,59,0,16,0,0,1,0,C Successor-only,3,NA,NA,0
011216-KD1,include,,f,12/1/16,English,no,NA,Museum,JC,JC,no,4,4-4.5y,yes,0,A1,BiggestNumber,none,,16,0,0,1,0,C Successor-only,3,NA,NA,0
011216-KD1,include,,f,12/1/16,English,no,NA,Museum,JC,JC,no,4,4-4.5y,yes,0,B1,isBiggest,no,,yes,0,0,1,0,C Successor-only,3,NA,NA,0
011216-KD1,include,,f,12/1/16,English,no,NA,Museum,JC,JC,no,4,4-4.5y,yes,0,B2,EndOrForever,forever,,end,0,0,1,0,C Successor-only,3,NA,NA,0
011216-KD1,include,,f,12/1/16,English,no,NA,Museum,JC,JC,no,4,4-4.5y,yes,0,B2,Why,justification,,because I'm smart,0,0,1,0,C Successor-only,3,NA,NA,0
011216-KD1,include,,f,12/1/16,English,no,NA,Museum,JC,JC,no,4,4-4.5y,yes,0,C1,CanWeAddToBigNumber,yes,,yes,0,0,1,0,C Successor-only,3,NA,NA,0
011216-KD1,include,,f,12/1/16,English,no,NA,Museum,JC,JC,no,4,4-4.5y,yes,0,C1,why,justification,,"get 9, because 16",0,0,1,0,C Successor-only,3,NA,NA,0
011216-KD1,include,,f,12/1/16,English,no,NA,Museum,JC,JC,no,4,4-4.5y,yes,0,C2,CanWeAdd1toX,yes,,yes,0,0,1,0,C Successor-only,3,NA,NA,0
011216-KD1,include,,f,12/1/16,English,no,NA,Museum,JC,JC,no,4,4-4.5y,yes,0,C2,why,justification,,because 16-9-2-14,0,0,1,0,C Successor-only,3,NA,NA,0
011216-KD1,include,,f,12/1/16,English,no,NA,Museum,JC,JC,no,4,4-4.5y,yes,0,C3,CanKeepAdding1,yes,,yes,0,0,1,0,C Successor-only,3,NA,NA,0
011216-KD1,include,,f,12/1/16,English,no,NA,Museum,JC,JC,no,4,4-4.5y,yes,0,C3,why,justification,,I would get 4 after 9,0,0,1,0,C Successor-only,3,NA,NA,0
011216-KD1,include,,f,12/1/16,English,no,NA,Museum,JC,JC,no,4,4-4.5y,yes,0,C3,WhatWouldHappen,justification,,"like this: 1, 2, 3, 4, 5, to 5.",0,0,1,0,C Successor-only,3,NA,NA,0
011216-KD1,include,,f,12/1/16,English,no,NA,Museum,JC,JC,no,4,4-4.5y,yes,0,D1,CanYouCountTens,yes,,NA,0,0,1,0,C Successor-only,3,NA,NA,0
011216-KD1,include,,f,12/1/16,English,no,NA,Museum,JC,JC,no,4,4-4.5y,yes,0,D2,CountingByTens,yes,,NA,0,0,1,0,C Successor-only,3,NA,NA,0
011216-KD1,include,,f,12/1/16,English,no,NA,Museum,JC,JC,no,4,4-4.5y,yes,0,D3,TenMoreThanTen,twenty,,NA,0,0,1,0,C Successor-only,3,NA,NA,0
011216-KD1,include,,f,12/1/16,English,no,NA,Museum,JC,JC,no,4,4-4.5y,yes,0,D4,TenTwenty,"30,40,50..",,NA,0,0,1,0,C Successor-only,3,NA,NA,0
011216-WB,include,,m,12/1/16,English,no,NA,Museum,JC,JC,no,4.44,4-4.5y,yes,0,HC,spontaneous,raw,,"1-15,20-24,26-30,36,37,59.",0,0,0,1,B Endless-only,2,NA,NA,1
011216-WB,include,,m,12/1/16,English,no,NA,Museum,JC,JC,no,4.44,4-4.5y,yes,0,HC,spontaneous,noerror,,15,0,0,0,1,B Endless-only,2,NA,NA,1
011216-WB,include,,m,12/1/16,English,no,NA,Museum,JC,JC,no,4.44,4-4.5y,yes,0,HC,spontaneous,consecutive,,30,0,0,0,1,B Endless-only,2,NA,NA,1
011216-WB,include,,m,12/1/16,English,no,NA,Museum,JC,JC,no,4.44,4-4.5y,yes,0,HC,supported,raw,,NA,0,0,0,1,B Endless-only,2,NA,NA,1
011216-WB,include,,m,12/1/16,English,no,NA,Museum,JC,JC,no,4.44,4-4.5y,yes,0,HC,supported,noerror,,NA,0,0,0,1,B Endless-only,2,NA,NA,1
011216-WB,include,,m,12/1/16,English,no,NA,Museum,JC,JC,no,4.44,4-4.5y,yes,0,HC,spontaneous,IHC,,15,0,0,0,1,B Endless-only,2,NA,NA,1
011216-WB,include,,m,12/1/16,English,no,NA,Museum,JC,JC,no,4.44,4-4.5y,yes,0,HC,spontaneous,decchangeerror,,NA,0,0,0,1,B Endless-only,2,NA,NA,1
011216-WB,include,,m,12/1/16,English,no,NA,Museum,JC,JC,no,4.44,4-4.5y,yes,0,HC,productivity,classification,,NA,0,0,0,1,B Endless-only,2,NA,NA,1
011216-WB,include,,m,12/1/16,English,no,NA,Museum,JC,JC,no,4.44,4-4.5y,yes,0,HC,supported,times,,NA,0,0,0,1,B Endless-only,2,NA,NA,1
011216-WB,include,,m,12/1/16,English,no,NA,Museum,JC,JC,no,4.44,4-4.5y,yes,0,WCN,practice,1,1,2,0,0,0,1,B Endless-only,2,NA,NA,1
011216-WB,include,,m,12/1/16,English,no,NA,Museum,JC,JC,no,4.44,4-4.5y,yes,0,WCN,practice,5,1,6,0,0,0,1,B Endless-only,2,NA,NA,1
011216-WB,include,,m,12/1/16,English,no,NA,Museum,JC,JC,no,4.44,4-4.5y,yes,0,WCN,immediate,23,0,17,0,0,0,1,B Endless-only,2,NA,NA,1
011216-WB,include,,m,12/1/16,English,no,NA,Museum,JC,JC,no,4.44,4-4.5y,yes,0,WCN,immediate,40,0,59,0,0,0,1,B Endless-only,2,NA,NA,1
011216-WB,include,,m,12/1/16,English,no,NA,Museum,JC,JC,no,4.44,4-4.5y,yes,0,WCN,immediate,62,0,69,0,0,0,1,B Endless-only,2,NA,NA,1
011216-WB,include,,m,12/1/16,English,no,NA,Museum,JC,JC,no,4.44,4-4.5y,yes,0,WCN,immediate,70,0,60,0,0,0,1,B Endless-only,2,NA,NA,1
