"","ExclusionGroup","Notes","Sex","DOT","Lang1","Bilingual","Lang2","Location","Experimenter","Enterer","AudioRecorded","Age","AgeGroup","InfinityInterviewDone","HCReceivedSupport","Task","TaskType","TaskItem","Accuracy","Response","HCGroup.spontaneous.noerror","HCGroup.final","HCGroup.best","IsProductive.noerror","IsProductive.final","PGroup.final","SuccessorKnower","EndlessKnower","Category","InfinityStage","DecadeCounter","DecadeKnowledge","EndlessPartial","LadlabID"
"43","include","","f","1/5/16","English","no",NA,"museum","JC","JC","no",4.17,"4-4.5y","yes","1","D4","TenTwenty","30,40,50..",NA,NA,"1-low","2-medium","2-medium",0,0,"2-Unproductive",0,0,"A Non-knower",1,NA,NA,0,"infinity-001"
"44","include","","m","1/9/16","English","yes","Spanish","Museum","JC","JC","no",4.78,"4.5-5y","yes","0","HC","spontaneous","raw",NA,"1-111.","4-veryhigh","4-veryhigh","4-veryhigh",99,99,"4-Strong",1,0,"C Successor-only",3,NA,NA,1,"infinity-002"
"45","include","","m","1/9/16","English","yes","Spanish","Museum","JC","JC","no",4.78,"4.5-5y","yes","0","HC","spontaneous","noerror",NA,"111","4-veryhigh","4-veryhigh","4-veryhigh",99,99,"4-Strong",1,0,"C Successor-only",3,NA,NA,1,"infinity-002"
"46","include","","m","1/9/16","English","yes","Spanish","Museum","JC","JC","no",4.78,"4.5-5y","yes","0","HC","spontaneous","consecutive",NA,"111","4-veryhigh","4-veryhigh","4-veryhigh",99,99,"4-Strong",1,0,"C Successor-only",3,NA,NA,1,"infinity-002"
"47","include","","m","1/9/16","English","yes","Spanish","Museum","JC","JC","no",4.78,"4.5-5y","yes","0","HC","supported","raw",NA,NA,"4-veryhigh","4-veryhigh","4-veryhigh",99,99,"4-Strong",1,0,"C Successor-only",3,NA,NA,1,"infinity-002"
"48","include","","m","1/9/16","English","yes","Spanish","Museum","JC","JC","no",4.78,"4.5-5y","yes","0","HC","supported","noerror",NA,NA,"4-veryhigh","4-veryhigh","4-veryhigh",99,99,"4-Strong",1,0,"C Successor-only",3,NA,NA,1,"infinity-002"
"49","include","","m","1/9/16","English","yes","Spanish","Museum","JC","JC","no",4.78,"4.5-5y","yes","0","HC","spontaneous","IHC",NA,"111","4-veryhigh","4-veryhigh","4-veryhigh",99,99,"4-Strong",1,0,"C Successor-only",3,NA,NA,1,"infinity-002"
"50","include","","m","1/9/16","English","yes","Spanish","Museum","JC","JC","no",4.78,"4.5-5y","yes","0","HC","spontaneous","decchangeerror",NA,NA,"4-veryhigh","4-veryhigh","4-veryhigh",99,99,"4-Strong",1,0,"C Successor-only",3,NA,NA,1,"infinity-002"
"51","include","","m","1/9/16","English","yes","Spanish","Museum","JC","JC","no",4.78,"4.5-5y","yes","0","HC","productivity","classification",NA,"prod","4-veryhigh","4-veryhigh","4-veryhigh",99,99,"4-Strong",1,0,"C Successor-only",3,NA,NA,1,"infinity-002"
"52","include","","m","1/9/16","English","yes","Spanish","Museum","JC","JC","no",4.78,"4.5-5y","yes","0","HC","supported","times",NA,NA,"4-veryhigh","4-veryhigh","4-veryhigh",99,99,"4-Strong",1,0,"C Successor-only",3,NA,NA,1,"infinity-002"
"53","include","","m","1/9/16","English","yes","Spanish","Museum","JC","JC","no",4.78,"4.5-5y","yes","0","WCN","practice","1",1,"2","4-veryhigh","4-veryhigh","4-veryhigh",99,99,"4-Strong",1,0,"C Successor-only",3,NA,NA,1,"infinity-002"
"54","include","","m","1/9/16","English","yes","Spanish","Museum","JC","JC","no",4.78,"4.5-5y","yes","0","WCN","practice","5",1,"6","4-veryhigh","4-veryhigh","4-veryhigh",99,99,"4-Strong",1,0,"C Successor-only",3,NA,NA,1,"infinity-002"
"55","include","","m","1/9/16","English","yes","Spanish","Museum","JC","JC","no",4.78,"4.5-5y","yes","0","WCN","immediate","23",1,"24","4-veryhigh","4-veryhigh","4-veryhigh",99,99,"4-Strong",1,0,"C Successor-only",3,NA,NA,1,"infinity-002"
"56","include","","m","1/9/16","English","yes","Spanish","Museum","JC","JC","no",4.78,"4.5-5y","yes","0","WCN","immediate","40",1,"41","4-veryhigh","4-veryhigh","4-veryhigh",99,99,"4-Strong",1,0,"C Successor-only",3,NA,NA,1,"infinity-002"
"57","include","","m","1/9/16","English","yes","Spanish","Museum","JC","JC","no",4.78,"4.5-5y","yes","0","WCN","immediate","62",1,"63","4-veryhigh","4-veryhigh","4-veryhigh",99,99,"4-Strong",1,0,"C Successor-only",3,NA,NA,1,"infinity-002"
"58","include","","m","1/9/16","English","yes","Spanish","Museum","JC","JC","no",4.78,"4.5-5y","yes","0","WCN","immediate","70",1,"71","4-veryhigh","4-veryhigh","4-veryhigh",99,99,"4-Strong",1,0,"C Successor-only",3,NA,NA,1,"infinity-002"
"59","include","","m","1/9/16","English","yes","Spanish","Museum","JC","JC","no",4.78,"4.5-5y","yes","0","WCN","immediate","37",1,"38","4-veryhigh","4-veryhigh","4-veryhigh",99,99,"4-Strong",1,0,"C Successor-only",3,NA,NA,1,"infinity-002"
"60","include","","m","1/9/16","English","yes","Spanish","Museum","JC","JC","no",4.78,"4.5-5y","yes","0","WCN","immediate","29",1,"30","4-veryhigh","4-veryhigh","4-veryhigh",99,99,"4-Strong",1,0,"C Successor-only",3,NA,NA,1,"infinity-002"
"61","include","","m","1/9/16","English","yes","Spanish","Museum","JC","JC","no",4.78,"4.5-5y","yes","0","WCN","immediate","86",1,"87","4-veryhigh","4-veryhigh","4-veryhigh",99,99,"4-Strong",1,0,"C Successor-only",3,NA,NA,1,"infinity-002"
"62","include","","m","1/9/16","English","yes","Spanish","Museum","JC","JC","no",4.78,"4.5-5y","yes","0","WCN","immediate","59",1,"60","4-veryhigh","4-veryhigh","4-veryhigh",99,99,"4-Strong",1,0,"C Successor-only",3,NA,NA,1,"infinity-002"
"63","include","","m","1/9/16","English","yes","Spanish","Museum","JC","JC","no",4.78,"4.5-5y","yes","0","WCN","momentum","3",NA,NA,"4-veryhigh","4-veryhigh","4-veryhigh",99,99,"4-Strong",1,0,"C Successor-only",3,NA,NA,1,"infinity-002"
"64","include","","m","1/9/16","English","yes","Spanish","Museum","JC","JC","no",4.78,"4.5-5y","yes","0","WCN","momentum","23",NA,NA,"4-veryhigh","4-veryhigh","4-veryhigh",99,99,"4-Strong",1,0,"C Successor-only",3,NA,NA,1,"infinity-002"
"65","include","","m","1/9/16","English","yes","Spanish","Museum","JC","JC","no",4.78,"4.5-5y","yes","0","WCN","momentum","40",NA,NA,"4-veryhigh","4-veryhigh","4-veryhigh",99,99,"4-Strong",1,0,"C Successor-only",3,NA,NA,1,"infinity-002"
"66","include","","m","1/9/16","English","yes","Spanish","Museum","JC","JC","no",4.78,"4.5-5y","yes","0","WCN","momentum","62",NA,NA,"4-veryhigh","4-veryhigh","4-veryhigh",99,99,"4-Strong",1,0,"C Successor-only",3,NA,NA,1,"infinity-002"
"67","include","","m","1/9/16","English","yes","Spanish","Museum","JC","JC","no",4.78,"4.5-5y","yes","0","WCN","momentum","70",NA,NA,"4-veryhigh","4-veryhigh","4-veryhigh",99,99,"4-Strong",1,0,"C Successor-only",3,NA,NA,1,"infinity-002"
"68","include","","m","1/9/16","English","yes","Spanish","Museum","JC","JC","no",4.78,"4.5-5y","yes","0","WCN","momentum","37",NA,NA,"4-veryhigh","4-veryhigh","4-veryhigh",99,99,"4-Strong",1,0,"C Successor-only",3,NA,NA,1,"infinity-002"
"69","include","","m","1/9/16","English","yes","Spanish","Museum","JC","JC","no",4.78,"4.5-5y","yes","0","WCN","momentum","29",NA,NA,"4-veryhigh","4-veryhigh","4-veryhigh",99,99,"4-Strong",1,0,"C Successor-only",3,NA,NA,1,"infinity-002"
"70","include","","m","1/9/16","English","yes","Spanish","Museum","JC","JC","no",4.78,"4.5-5y","yes","0","WCN","momentum","86",NA,NA,"4-veryhigh","4-veryhigh","4-veryhigh",99,99,"4-Strong",1,0,"C Successor-only",3,NA,NA,1,"infinity-002"
"71","include","","m","1/9/16","English","yes","Spanish","Museum","JC","JC","no",4.78,"4.5-5y","yes","0","WCN","momentum","59",NA,NA,"4-veryhigh","4-veryhigh","4-veryhigh",99,99,"4-Strong",1,0,"C Successor-only",3,NA,NA,1,"infinity-002"
"72","include","","m","1/9/16","English","yes","Spanish","Museum","JC","JC","no",4.78,"4.5-5y","yes","0","A1","BiggestNumber",NA,NA,"one hundred hundreds","4-veryhigh","4-veryhigh","4-veryhigh",99,99,"4-Strong",1,0,"C Successor-only",3,NA,NA,1,"infinity-002"
"73","include","","m","1/9/16","English","yes","Spanish","Museum","JC","JC","no",4.78,"4.5-5y","yes","0","B1","isBiggest",NA,NA,"IDK [Can you think of a bigger number?] Fifty three seventy one one thousand. [Is that the biggest number there could ever be?] nine thousand forty one fifty three. [Is that the biggest number there could ever be?] yes","4-veryhigh","4-veryhigh","4-veryhigh",99,99,"4-Strong",1,0,"C Successor-only",3,NA,NA,1,"infinity-002"
"74","include","","m","1/9/16","English","yes","Spanish","Museum","JC","JC","no",4.78,"4.5-5y","yes","0","B2","EndOrForever",NA,NA,"forever","4-veryhigh","4-veryhigh","4-veryhigh",99,99,"4-Strong",1,0,"C Successor-only",3,NA,NA,1,"infinity-002"
"75","include","","m","1/9/16","English","yes","Spanish","Museum","JC","JC","no",4.78,"4.5-5y","yes","0","B2","Why","justification",NA,"idk","4-veryhigh","4-veryhigh","4-veryhigh",99,99,"4-Strong",1,0,"C Successor-only",3,NA,NA,1,"infinity-002"
"76","include","","m","1/9/16","English","yes","Spanish","Museum","JC","JC","no",4.78,"4.5-5y","yes","0","C1","CanWeAddToBigNumber",NA,NA,"yes","4-veryhigh","4-veryhigh","4-veryhigh",99,99,"4-Strong",1,0,"C Successor-only",3,NA,NA,1,"infinity-002"
"77","include","","m","1/9/16","English","yes","Spanish","Museum","JC","JC","no",4.78,"4.5-5y","yes","0","C1","why","justification",NA,"NR","4-veryhigh","4-veryhigh","4-veryhigh",99,99,"4-Strong",1,0,"C Successor-only",3,NA,NA,1,"infinity-002"
"78","include","","m","1/9/16","English","yes","Spanish","Museum","JC","JC","no",4.78,"4.5-5y","yes","0","C2","CanWeAdd1toX",NA,NA,"yes","4-veryhigh","4-veryhigh","4-veryhigh",99,99,"4-Strong",1,0,"C Successor-only",3,NA,NA,1,"infinity-002"
"79","include","","m","1/9/16","English","yes","Spanish","Museum","JC","JC","no",4.78,"4.5-5y","yes","0","C2","why","justification",NA,"NR","4-veryhigh","4-veryhigh","4-veryhigh",99,99,"4-Strong",1,0,"C Successor-only",3,NA,NA,1,"infinity-002"
"80","include","","m","1/9/16","English","yes","Spanish","Museum","JC","JC","no",4.78,"4.5-5y","yes","0","C3","CanKeepAdding1",NA,NA,"yes","4-veryhigh","4-veryhigh","4-veryhigh",99,99,"4-Strong",1,0,"C Successor-only",3,NA,NA,1,"infinity-002"
"81","include","","m","1/9/16","English","yes","Spanish","Museum","JC","JC","no",4.78,"4.5-5y","yes","0","C3","why","justification",NA,"NR","4-veryhigh","4-veryhigh","4-veryhigh",99,99,"4-Strong",1,0,"C Successor-only",3,NA,NA,1,"infinity-002"
"82","include","","m","1/9/16","English","yes","Spanish","Museum","JC","JC","no",4.78,"4.5-5y","yes","0","C3","WhatWouldHappen","justification",NA,"Get the biggest number in the world","4-veryhigh","4-veryhigh","4-veryhigh",99,99,"4-Strong",1,0,"C Successor-only",3,NA,NA,1,"infinity-002"
"83","include","","m","1/9/16","English","yes","Spanish","Museum","JC","JC","no",4.78,"4.5-5y","yes","0","D1","CanYouCountTens",NA,NA,NA,"4-veryhigh","4-veryhigh","4-veryhigh",99,99,"4-Strong",1,0,"C Successor-only",3,NA,NA,1,"infinity-002"
"84","include","","m","1/9/16","English","yes","Spanish","Museum","JC","JC","no",4.78,"4.5-5y","yes","0","D2","CountingByTens",NA,NA,NA,"4-veryhigh","4-veryhigh","4-veryhigh",99,99,"4-Strong",1,0,"C Successor-only",3,NA,NA,1,"infinity-002"
"85","include","","m","1/9/16","English","yes","Spanish","Museum","JC","JC","no",4.78,"4.5-5y","yes","0","D3","TenMoreThanTen",NA,NA,NA,"4-veryhigh","4-veryhigh","4-veryhigh",99,99,"4-Strong",1,0,"C Successor-only",3,NA,NA,1,"infinity-002"
"86","include","","m","1/9/16","English","yes","Spanish","Museum","JC","JC","no",4.78,"4.5-5y","yes","0","D4","TenTwenty",NA,NA,NA,"4-veryhigh","4-veryhigh","4-veryhigh",99,99,"4-Strong",1,0,"C Successor-only",3,NA,NA,1,"infinity-002"
"87","include","","f","1/12/16","English","no",NA,"Museum","JC","JC","no",4,"4-4.5y","yes","0","HC","spontaneous","raw",NA,"1-5,11,12,16,9,12,16.","1-low","1-low","1-low",0,0,"1-Weak",1,0,"C Successor-only",3,NA,NA,0,"infinity-003"
"88","include","","f","1/12/16","English","no",NA,"Museum","JC","JC","no",4,"4-4.5y","yes","0","HC","spontaneous","noerror",NA,"5","1-low","1-low","1-low",0,0,"1-Weak",1,0,"C Successor-only",3,NA,NA,0,"infinity-003"
"89","include","","f","1/12/16","English","no",NA,"Museum","JC","JC","no",4,"4-4.5y","yes","0","HC","spontaneous","consecutive",NA,"5","1-low","1-low","1-low",0,0,"1-Weak",1,0,"C Successor-only",3,NA,NA,0,"infinity-003"
"90","include","","f","1/12/16","English","no",NA,"Museum","JC","JC","no",4,"4-4.5y","yes","0","HC","supported","raw",NA,NA,"1-low","1-low","1-low",0,0,"1-Weak",1,0,"C Successor-only",3,NA,NA,0,"infinity-003"
"91","include","","f","1/12/16","English","no",NA,"Museum","JC","JC","no",4,"4-4.5y","yes","0","HC","supported","noerror",NA,NA,"1-low","1-low","1-low",0,0,"1-Weak",1,0,"C Successor-only",3,NA,NA,0,"infinity-003"
"92","include","","f","1/12/16","English","no",NA,"Museum","JC","JC","no",4,"4-4.5y","yes","0","HC","spontaneous","IHC",NA,"5","1-low","1-low","1-low",0,0,"1-Weak",1,0,"C Successor-only",3,NA,NA,0,"infinity-003"
"93","include","","f","1/12/16","English","no",NA,"Museum","JC","JC","no",4,"4-4.5y","yes","0","HC","spontaneous","decchangeerror",NA,NA,"1-low","1-low","1-low",0,0,"1-Weak",1,0,"C Successor-only",3,NA,NA,0,"infinity-003"
"94","include","","f","1/12/16","English","no",NA,"Museum","JC","JC","no",4,"4-4.5y","yes","0","HC","productivity","classification",NA,NA,"1-low","1-low","1-low",0,0,"1-Weak",1,0,"C Successor-only",3,NA,NA,0,"infinity-003"
"95","include","","f","1/12/16","English","no",NA,"Museum","JC","JC","no",4,"4-4.5y","yes","0","HC","supported","times",NA,NA,"1-low","1-low","1-low",0,0,"1-Weak",1,0,"C Successor-only",3,NA,NA,0,"infinity-003"
"96","include","","f","1/12/16","English","no",NA,"Museum","JC","JC","no",4,"4-4.5y","yes","0","WCN","practice","1",1,"2","1-low","1-low","1-low",0,0,"1-Weak",1,0,"C Successor-only",3,NA,NA,0,"infinity-003"
"97","include","","f","1/12/16","English","no",NA,"Museum","JC","JC","no",4,"4-4.5y","yes","0","WCN","practice","5",1,"6","1-low","1-low","1-low",0,0,"1-Weak",1,0,"C Successor-only",3,NA,NA,0,"infinity-003"
"98","include","","f","1/12/16","English","no",NA,"Museum","JC","JC","no",4,"4-4.5y","yes","0","WCN","immediate","23",0,"9","1-low","1-low","1-low",0,0,"1-Weak",1,0,"C Successor-only",3,NA,NA,0,"infinity-003"
"99","include","","f","1/12/16","English","no",NA,"Museum","JC","JC","no",4,"4-4.5y","yes","0","WCN","immediate","40",0,"16","1-low","1-low","1-low",0,0,"1-Weak",1,0,"C Successor-only",3,NA,NA,0,"infinity-003"
"100","include","","f","1/12/16","English","no",NA,"Museum","JC","JC","no",4,"4-4.5y","yes","0","WCN","immediate","62",0,"4","1-low","1-low","1-low",0,0,"1-Weak",1,0,"C Successor-only",3,NA,NA,0,"infinity-003"
"101","include","","f","1/12/16","English","no",NA,"Museum","JC","JC","no",4,"4-4.5y","yes","0","WCN","immediate","70",0,"69","1-low","1-low","1-low",0,0,"1-Weak",1,0,"C Successor-only",3,NA,NA,0,"infinity-003"
"102","include","","f","1/12/16","English","no",NA,"Museum","JC","JC","no",4,"4-4.5y","yes","0","WCN","immediate","37",0,"4","1-low","1-low","1-low",0,0,"1-Weak",1,0,"C Successor-only",3,NA,NA,0,"infinity-003"
"103","include","","f","1/12/16","English","no",NA,"Museum","JC","JC","no",4,"4-4.5y","yes","0","WCN","immediate","29",0,"5","1-low","1-low","1-low",0,0,"1-Weak",1,0,"C Successor-only",3,NA,NA,0,"infinity-003"
"104","include","","f","1/12/16","English","no",NA,"Museum","JC","JC","no",4,"4-4.5y","yes","0","WCN","immediate","86",0,"190","1-low","1-low","1-low",0,0,"1-Weak",1,0,"C Successor-only",3,NA,NA,0,"infinity-003"
