"","LadlabID","IHC","FHC","Age","Productivity","Productivity.tertiary","ProductivityStrict","ProductivityStrict.tertiary","TaskItem_num","TaskItem_type","Accuracy","WithinOutsideIHC"
"18","infinity-003",5,5,4,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",40,"Item Type: Mid-decade",0,"outside"
"19","infinity-003",5,5,4,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",62,"Item Type: Mid-decade",0,"outside"
"20","infinity-003",5,5,4,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",70,"Item Type: Mid-decade",0,"outside"
"21","infinity-003",5,5,4,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",37,"Item Type: Mid-decade",0,"outside"
"22","infinity-003",5,5,4,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",29,"Item Type: Decade transition",0,"outside"
"23","infinity-003",5,5,4,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",86,"Item Type: Mid-decade",0,"outside"
"24","infinity-003",5,5,4,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",59,"Item Type: Decade transition",0,"outside"
"25","infinity-004",15,30,4.44,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",23,"Item Type: Mid-decade",0,"outside"
"26","infinity-004",15,30,4.44,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",40,"Item Type: Mid-decade",0,"outside"
"27","infinity-004",15,30,4.44,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",62,"Item Type: Mid-decade",0,"outside"
"28","infinity-004",15,30,4.44,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",70,"Item Type: Mid-decade",0,"outside"
"29","infinity-004",15,30,4.44,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",37,"Item Type: Mid-decade",0,"outside"
"30","infinity-004",15,30,4.44,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",29,"Item Type: Decade transition",0,"outside"
"31","infinity-004",15,30,4.44,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",86,"Item Type: Mid-decade",0,"outside"
"32","infinity-004",15,30,4.44,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",59,"Item Type: Decade transition",1,"outside"
"33","infinity-006",39,39,4.12,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",23,"Item Type: Mid-decade",0,"within"
"34","infinity-006",39,39,4.12,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",40,"Item Type: Mid-decade",0,"outside"
"35","infinity-006",39,39,4.12,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",62,"Item Type: Mid-decade",0,"outside"
"36","infinity-006",39,39,4.12,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",70,"Item Type: Mid-decade",0,"outside"
"37","infinity-006",39,39,4.12,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",37,"Item Type: Mid-decade",0,"within"
"38","infinity-006",39,39,4.12,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",29,"Item Type: Decade transition",1,"within"
"39","infinity-006",39,39,4.12,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",86,"Item Type: Mid-decade",1,"outside"
"40","infinity-006",39,39,4.12,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",59,"Item Type: Decade transition",0,"outside"
"41","infinity-007",29,89,4.41,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",23,"Item Type: Mid-decade",0,"within"
"42","infinity-007",29,89,4.41,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",40,"Item Type: Mid-decade",0,"outside"
"43","infinity-007",29,89,4.41,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",62,"Item Type: Mid-decade",0,"outside"
"44","infinity-007",29,89,4.41,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",70,"Item Type: Mid-decade",0,"outside"
"45","infinity-007",29,89,4.41,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",37,"Item Type: Mid-decade",0,"outside"
"46","infinity-007",29,89,4.41,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",29,"Item Type: Decade transition",0,"outside"
"47","infinity-007",29,89,4.41,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",86,"Item Type: Mid-decade",0,"outside"
"48","infinity-007",29,89,4.41,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",59,"Item Type: Decade transition",0,"outside"
"49","infinity-008",38,38,4.75,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",23,"Item Type: Mid-decade",1,"within"
"50","infinity-008",38,38,4.75,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",40,"Item Type: Mid-decade",1,"outside"
"51","infinity-008",38,38,4.75,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",62,"Item Type: Mid-decade",1,"outside"
"52","infinity-008",38,38,4.75,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",70,"Item Type: Mid-decade",1,"outside"
"53","infinity-008",38,38,4.75,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",37,"Item Type: Mid-decade",0,"within"
"54","infinity-008",38,38,4.75,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",29,"Item Type: Decade transition",1,"within"
"55","infinity-008",38,38,4.75,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",86,"Item Type: Mid-decade",1,"outside"
"56","infinity-008",38,38,4.75,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",59,"Item Type: Decade transition",0,"outside"
"57","infinity-012",39,99,5.42,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",23,"Item Type: Mid-decade",1,"within"
"58","infinity-012",39,99,5.42,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",40,"Item Type: Mid-decade",1,"outside"
"59","infinity-012",39,99,5.42,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",62,"Item Type: Mid-decade",1,"outside"
"60","infinity-012",39,99,5.42,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",70,"Item Type: Mid-decade",1,"outside"
"61","infinity-012",39,99,5.42,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",37,"Item Type: Mid-decade",1,"within"
"62","infinity-012",39,99,5.42,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",29,"Item Type: Decade transition",1,"within"
"63","infinity-012",39,99,5.42,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",86,"Item Type: Mid-decade",1,"outside"
"64","infinity-012",39,99,5.42,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",59,"Item Type: Decade transition",1,"outside"
"65","infinity-014",29,49,4.25,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",23,"Item Type: Mid-decade",1,"within"
"66","infinity-014",29,49,4.25,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",40,"Item Type: Mid-decade",1,"outside"
"67","infinity-014",29,49,4.25,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",62,"Item Type: Mid-decade",0,"outside"
"68","infinity-014",29,49,4.25,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",70,"Item Type: Mid-decade",0,"outside"
"69","infinity-014",29,49,4.25,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",37,"Item Type: Mid-decade",1,"outside"
"70","infinity-014",29,49,4.25,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",29,"Item Type: Decade transition",0,"outside"
"71","infinity-014",29,49,4.25,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",86,"Item Type: Mid-decade",0,"outside"
"72","infinity-014",29,49,4.25,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",59,"Item Type: Decade transition",0,"outside"
"73","infinity-017",13,13,4.6,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",23,"Item Type: Mid-decade",0,"outside"
"74","infinity-017",13,13,4.6,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",40,"Item Type: Mid-decade",0,"outside"
"75","infinity-017",13,13,4.6,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",62,"Item Type: Mid-decade",0,"outside"
"76","infinity-017",13,13,4.6,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",70,"Item Type: Mid-decade",0,"outside"
"77","infinity-017",13,13,4.6,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",37,"Item Type: Mid-decade",0,"outside"
"78","infinity-017",13,13,4.6,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",29,"Item Type: Decade transition",0,"outside"
"79","infinity-017",13,13,4.6,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",86,"Item Type: Mid-decade",0,"outside"
"80","infinity-017",13,13,4.6,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",59,"Item Type: Decade transition",0,"outside"
"81","infinity-018",77,77,4.77,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",23,"Item Type: Mid-decade",1,"within"
"82","infinity-018",77,77,4.77,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",40,"Item Type: Mid-decade",1,"within"
"83","infinity-018",77,77,4.77,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",62,"Item Type: Mid-decade",1,"within"
"84","infinity-018",77,77,4.77,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",70,"Item Type: Mid-decade",1,"within"
"85","infinity-018",77,77,4.77,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",37,"Item Type: Mid-decade",1,"within"
"86","infinity-018",77,77,4.77,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",29,"Item Type: Decade transition",1,"within"
"87","infinity-018",77,77,4.77,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",86,"Item Type: Mid-decade",1,"outside"
"88","infinity-018",77,77,4.77,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",59,"Item Type: Decade transition",0,"within"
"89","infinity-019",99,99,4.48,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",23,"Item Type: Mid-decade",1,"within"
"90","infinity-019",99,99,4.48,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",40,"Item Type: Mid-decade",1,"within"
"91","infinity-019",99,99,4.48,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",62,"Item Type: Mid-decade",1,"within"
"92","infinity-019",99,99,4.48,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",70,"Item Type: Mid-decade",1,"within"
"93","infinity-019",99,99,4.48,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",37,"Item Type: Mid-decade",1,"within"
"94","infinity-019",99,99,4.48,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",29,"Item Type: Decade transition",1,"within"
"95","infinity-019",99,99,4.48,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",86,"Item Type: Mid-decade",1,"within"
"96","infinity-019",99,99,4.48,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",59,"Item Type: Decade transition",1,"within"
"97","infinity-020",40,40,4.37,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",23,"Item Type: Mid-decade",1,"within"
"98","infinity-020",40,40,4.37,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",40,"Item Type: Mid-decade",0,"outside"
"99","infinity-020",40,40,4.37,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",62,"Item Type: Mid-decade",0,"outside"
"100","infinity-020",40,40,4.37,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",70,"Item Type: Mid-decade",0,"outside"
"101","infinity-020",40,40,4.37,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",37,"Item Type: Mid-decade",1,"within"
"102","infinity-020",40,40,4.37,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",29,"Item Type: Decade transition",0,"within"
"103","infinity-020",40,40,4.37,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",86,"Item Type: Mid-decade",1,"outside"
"104","infinity-020",40,40,4.37,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",59,"Item Type: Decade transition",1,"outside"
"105","infinity-021",99,99,4.96,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",23,"Item Type: Mid-decade",1,"within"
"106","infinity-021",99,99,4.96,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",40,"Item Type: Mid-decade",1,"within"
"107","infinity-021",99,99,4.96,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",62,"Item Type: Mid-decade",1,"within"
"108","infinity-021",99,99,4.96,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",70,"Item Type: Mid-decade",1,"within"
"109","infinity-021",99,99,4.96,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",37,"Item Type: Mid-decade",1,"within"
"110","infinity-021",99,99,4.96,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",29,"Item Type: Decade transition",1,"within"
"111","infinity-021",99,99,4.96,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",86,"Item Type: Mid-decade",1,"within"
"112","infinity-021",99,99,4.96,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",59,"Item Type: Decade transition",1,"within"
"113","infinity-022",99,99,4.21,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",23,"Item Type: Mid-decade",1,"within"
"114","infinity-022",99,99,4.21,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",40,"Item Type: Mid-decade",1,"within"
"115","infinity-022",99,99,4.21,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",62,"Item Type: Mid-decade",1,"within"
"116","infinity-022",99,99,4.21,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",70,"Item Type: Mid-decade",1,"within"
"117","infinity-022",99,99,4.21,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",37,"Item Type: Mid-decade",1,"within"
"118","infinity-022",99,99,4.21,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",29,"Item Type: Decade transition",1,"within"
"119","infinity-022",99,99,4.21,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",86,"Item Type: Mid-decade",1,"within"
"120","infinity-022",99,99,4.21,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",59,"Item Type: Decade transition",1,"within"
"121","infinity-024",14,24,4.27,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",23,"Item Type: Mid-decade",1,"outside"
"122","infinity-024",14,24,4.27,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",40,"Item Type: Mid-decade",0,"outside"
"123","infinity-024",14,24,4.27,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",62,"Item Type: Mid-decade",1,"outside"
"124","infinity-024",14,24,4.27,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",70,"Item Type: Mid-decade",0,"outside"
"125","infinity-024",14,24,4.27,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",37,"Item Type: Mid-decade",0,"outside"
"126","infinity-024",14,24,4.27,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",29,"Item Type: Decade transition",0,"outside"
"127","infinity-024",14,24,4.27,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",86,"Item Type: Mid-decade",0,"outside"
"128","infinity-024",14,24,4.27,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",59,"Item Type: Decade transition",0,"outside"
"129","infinity-026",28,38,4.79,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",23,"Item Type: Mid-decade",1,"within"
"130","infinity-026",28,38,4.79,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",40,"Item Type: Mid-decade",1,"outside"
"131","infinity-026",28,38,4.79,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",62,"Item Type: Mid-decade",0,"outside"
"132","infinity-026",28,38,4.79,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",70,"Item Type: Mid-decade",0,"outside"
"133","infinity-026",28,38,4.79,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",37,"Item Type: Mid-decade",0,"outside"
"134","infinity-026",28,38,4.79,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",29,"Item Type: Decade transition",0,"outside"
"135","infinity-026",28,38,4.79,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",86,"Item Type: Mid-decade",1,"outside"
"136","infinity-026",28,38,4.79,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",59,"Item Type: Decade transition",0,"outside"
"137","infinity-027",50,50,4.95,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",23,"Item Type: Mid-decade",1,"within"
"138","infinity-027",50,50,4.95,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",40,"Item Type: Mid-decade",1,"within"
"139","infinity-027",50,50,4.95,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",62,"Item Type: Mid-decade",1,"outside"
"140","infinity-027",50,50,4.95,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",70,"Item Type: Mid-decade",0,"outside"
"141","infinity-027",50,50,4.95,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",37,"Item Type: Mid-decade",1,"within"
"142","infinity-027",50,50,4.95,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",29,"Item Type: Decade transition",0,"within"
"143","infinity-027",50,50,4.95,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",86,"Item Type: Mid-decade",1,"outside"
"144","infinity-027",50,50,4.95,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",59,"Item Type: Decade transition",0,"outside"
"145","infinity-028",18,18,4.01,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",23,"Item Type: Mid-decade",0,"outside"
"146","infinity-028",18,18,4.01,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",40,"Item Type: Mid-decade",0,"outside"
"147","infinity-028",18,18,4.01,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",62,"Item Type: Mid-decade",1,"outside"
"148","infinity-028",18,18,4.01,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",70,"Item Type: Mid-decade",0,"outside"
"149","infinity-028",18,18,4.01,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",37,"Item Type: Mid-decade",1,"outside"
"150","infinity-028",18,18,4.01,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",29,"Item Type: Decade transition",0,"outside"
"151","infinity-028",18,18,4.01,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",86,"Item Type: Mid-decade",0,"outside"
"152","infinity-028",18,18,4.01,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",59,"Item Type: Decade transition",0,"outside"
"153","infinity-029",40,40,4.32,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",23,"Item Type: Mid-decade",1,"within"
"154","infinity-029",40,40,4.32,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",40,"Item Type: Mid-decade",1,"outside"
"155","infinity-029",40,40,4.32,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",62,"Item Type: Mid-decade",1,"outside"
"156","infinity-029",40,40,4.32,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",70,"Item Type: Mid-decade",1,"outside"
"157","infinity-029",40,40,4.32,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",37,"Item Type: Mid-decade",1,"within"
"158","infinity-029",40,40,4.32,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",29,"Item Type: Decade transition",0,"within"
"159","infinity-029",40,40,4.32,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",86,"Item Type: Mid-decade",1,"outside"
"160","infinity-029",40,40,4.32,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",59,"Item Type: Decade transition",0,"outside"
"161","infinity-030",99,99,4.69,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",23,"Item Type: Mid-decade",1,"within"
"162","infinity-030",99,99,4.69,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",40,"Item Type: Mid-decade",1,"within"
"163","infinity-030",99,99,4.69,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",62,"Item Type: Mid-decade",1,"within"
"164","infinity-030",99,99,4.69,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",70,"Item Type: Mid-decade",1,"within"
"165","infinity-030",99,99,4.69,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",37,"Item Type: Mid-decade",1,"within"
"166","infinity-030",99,99,4.69,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",29,"Item Type: Decade transition",0,"within"
"167","infinity-030",99,99,4.69,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",86,"Item Type: Mid-decade",1,"within"
"168","infinity-030",99,99,4.69,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",59,"Item Type: Decade transition",0,"within"
"169","infinity-031",14,20,4.47,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",23,"Item Type: Mid-decade",0,"outside"
"170","infinity-031",14,20,4.47,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",40,"Item Type: Mid-decade",0,"outside"
"171","infinity-031",14,20,4.47,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",62,"Item Type: Mid-decade",0,"outside"
"172","infinity-031",14,20,4.47,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",70,"Item Type: Mid-decade",0,"outside"
"173","infinity-031",14,20,4.47,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",37,"Item Type: Mid-decade",0,"outside"
"174","infinity-031",14,20,4.47,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",29,"Item Type: Decade transition",0,"outside"
"175","infinity-031",14,20,4.47,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",86,"Item Type: Mid-decade",0,"outside"
"176","infinity-031",14,20,4.47,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",59,"Item Type: Decade transition",0,"outside"
"177","infinity-033",10,29,4.49,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",23,"Item Type: Mid-decade",0,"outside"
"178","infinity-033",10,29,4.49,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",40,"Item Type: Mid-decade",0,"outside"
"179","infinity-033",10,29,4.49,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",62,"Item Type: Mid-decade",0,"outside"
"180","infinity-033",10,29,4.49,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",70,"Item Type: Mid-decade",0,"outside"
"181","infinity-033",10,29,4.49,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",37,"Item Type: Mid-decade",0,"outside"
"182","infinity-033",10,29,4.49,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",29,"Item Type: Decade transition",0,"outside"
"183","infinity-033",10,29,4.49,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",86,"Item Type: Mid-decade",0,"outside"
"184","infinity-033",10,29,4.49,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",59,"Item Type: Decade transition",0,"outside"
"185","infinity-034",49,99,4.66,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",23,"Item Type: Mid-decade",1,"within"
"186","infinity-034",49,99,4.66,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",40,"Item Type: Mid-decade",1,"within"
"187","infinity-034",49,99,4.66,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",62,"Item Type: Mid-decade",1,"outside"
"188","infinity-034",49,99,4.66,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",70,"Item Type: Mid-decade",1,"outside"
"189","infinity-034",49,99,4.66,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",37,"Item Type: Mid-decade",0,"within"
"190","infinity-034",49,99,4.66,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",29,"Item Type: Decade transition",1,"within"
"191","infinity-034",49,99,4.66,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",86,"Item Type: Mid-decade",1,"outside"
"192","infinity-034",49,99,4.66,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",59,"Item Type: Decade transition",0,"outside"
"193","infinity-035",99,99,5.09,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",23,"Item Type: Mid-decade",1,"within"
"194","infinity-035",99,99,5.09,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",40,"Item Type: Mid-decade",1,"within"
"195","infinity-035",99,99,5.09,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",62,"Item Type: Mid-decade",1,"within"
"196","infinity-035",99,99,5.09,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",70,"Item Type: Mid-decade",1,"within"
