"","X","Notes","Sex","Lang1","Bilingual","Lang2","Location","Experimenter","Enterer","AudioRecorded","Age","AgeGroup","InfinityInterviewDone","HCReceivedSupport","Task","TaskType","TaskItem","Accuracy","Response","SuccessorKnower","EndlessKnower","Category","LadlabID","Productivity","IHC","FHC","DCE","why_productive","suptimes.final","ProductivityStrict","delta.hc","Productivity.tertiary","ProductivityStrict.tertiary","AgeMonths","reminders.total","reminders.recovered","subID","InfinityKnower","NonKnower"
"11",11,NA,"f","english","n",NA,"museum","JC","JC","n",4.17,"4-4.5y","y","1","WCN","practice","5",1,"6",0,0,"A Non-knower","infinity-001","Nonproductive",13,29,29,"no improvement from dce",1,"Nonproductive",16,"Nonproductive","Nonproductive",50,NA,NA,"12","None or partial","No knowledge"
"12",12,NA,"f","english","n",NA,"museum","JC","JC","n",4.17,"4-4.5y","y","1","WCN","immediate","23",0,"idk",0,0,"A Non-knower","infinity-001","Nonproductive",13,29,29,"no improvement from dce",1,"Nonproductive",16,"Nonproductive","Nonproductive",50,NA,NA,"12","None or partial","No knowledge"
"13",13,NA,"f","english","n",NA,"museum","JC","JC","n",4.17,"4-4.5y","y","1","WCN","immediate","40",0,"idk",0,0,"A Non-knower","infinity-001","Nonproductive",13,29,29,"no improvement from dce",1,"Nonproductive",16,"Nonproductive","Nonproductive",50,NA,NA,"12","None or partial","No knowledge"
"14",14,NA,"f","english","n",NA,"museum","JC","JC","n",4.17,"4-4.5y","y","1","WCN","immediate","62",0,"idk",0,0,"A Non-knower","infinity-001","Nonproductive",13,29,29,"no improvement from dce",1,"Nonproductive",16,"Nonproductive","Nonproductive",50,NA,NA,"12","None or partial","No knowledge"
"15",15,NA,"f","english","n",NA,"museum","JC","JC","n",4.17,"4-4.5y","y","1","WCN","immediate","70",0,"7",0,0,"A Non-knower","infinity-001","Nonproductive",13,29,29,"no improvement from dce",1,"Nonproductive",16,"Nonproductive","Nonproductive",50,NA,NA,"12","None or partial","No knowledge"
"16",16,NA,"f","english","n",NA,"museum","JC","JC","n",4.17,"4-4.5y","y","1","WCN","immediate","37",0,"8",0,0,"A Non-knower","infinity-001","Nonproductive",13,29,29,"no improvement from dce",1,"Nonproductive",16,"Nonproductive","Nonproductive",50,NA,NA,"12","None or partial","No knowledge"
"17",17,NA,"f","english","n",NA,"museum","JC","JC","n",4.17,"4-4.5y","y","1","WCN","immediate","29",0,"7",0,0,"A Non-knower","infinity-001","Nonproductive",13,29,29,"no improvement from dce",1,"Nonproductive",16,"Nonproductive","Nonproductive",50,NA,NA,"12","None or partial","No knowledge"
"18",18,NA,"f","english","n",NA,"museum","JC","JC","n",4.17,"4-4.5y","y","1","WCN","immediate","86",0,"idk",0,0,"A Non-knower","infinity-001","Nonproductive",13,29,29,"no improvement from dce",1,"Nonproductive",16,"Nonproductive","Nonproductive",50,NA,NA,"12","None or partial","No knowledge"
"19",19,NA,"f","english","n",NA,"museum","JC","JC","n",4.17,"4-4.5y","y","1","WCN","immediate","59",0,"30",0,0,"A Non-knower","infinity-001","Nonproductive",13,29,29,"no improvement from dce",1,"Nonproductive",16,"Nonproductive","Nonproductive",50,NA,NA,"12","None or partial","No knowledge"
"20",20,NA,"f","english","n",NA,"museum","JC","JC","n",4.17,"4-4.5y","y","1","WCN","momentum","3",1,"4",0,0,"A Non-knower","infinity-001","Nonproductive",13,29,29,"no improvement from dce",1,"Nonproductive",16,"Nonproductive","Nonproductive",50,NA,NA,"12","None or partial","No knowledge"
"21",21,NA,"f","english","n",NA,"museum","JC","JC","n",4.17,"4-4.5y","y","1","WCN","momentum","23",0,"34",0,0,"A Non-knower","infinity-001","Nonproductive",13,29,29,"no improvement from dce",1,"Nonproductive",16,"Nonproductive","Nonproductive",50,NA,NA,"12","None or partial","No knowledge"
"22",22,NA,"f","english","n",NA,"museum","JC","JC","n",4.17,"4-4.5y","y","1","WCN","momentum","40",0,"thirty-ten",0,0,"A Non-knower","infinity-001","Nonproductive",13,29,29,"no improvement from dce",1,"Nonproductive",16,"Nonproductive","Nonproductive",50,NA,NA,"12","None or partial","No knowledge"
"23",23,NA,"f","english","n",NA,"museum","JC","JC","n",4.17,"4-4.5y","y","1","WCN","momentum","62",0,"7",0,0,"A Non-knower","infinity-001","Nonproductive",13,29,29,"no improvement from dce",1,"Nonproductive",16,"Nonproductive","Nonproductive",50,NA,NA,"12","None or partial","No knowledge"
"24",24,NA,"f","english","n",NA,"museum","JC","JC","n",4.17,"4-4.5y","y","1","WCN","momentum","70",0,"4",0,0,"A Non-knower","infinity-001","Nonproductive",13,29,29,"no improvement from dce",1,"Nonproductive",16,"Nonproductive","Nonproductive",50,NA,NA,"12","None or partial","No knowledge"
"25",25,NA,"f","english","n",NA,"museum","JC","JC","n",4.17,"4-4.5y","y","1","WCN","momentum","37",0,"8",0,0,"A Non-knower","infinity-001","Nonproductive",13,29,29,"no improvement from dce",1,"Nonproductive",16,"Nonproductive","Nonproductive",50,NA,NA,"12","None or partial","No knowledge"
"26",26,NA,"f","english","n",NA,"museum","JC","JC","n",4.17,"4-4.5y","y","1","WCN","momentum","29",0,"7",0,0,"A Non-knower","infinity-001","Nonproductive",13,29,29,"no improvement from dce",1,"Nonproductive",16,"Nonproductive","Nonproductive",50,NA,NA,"12","None or partial","No knowledge"
"27",27,NA,"f","english","n",NA,"museum","JC","JC","n",4.17,"4-4.5y","y","1","WCN","momentum","86",0,"70",0,0,"A Non-knower","infinity-001","Nonproductive",13,29,29,"no improvement from dce",1,"Nonproductive",16,"Nonproductive","Nonproductive",50,NA,NA,"12","None or partial","No knowledge"
"28",28,NA,"f","english","n",NA,"museum","JC","JC","n",4.17,"4-4.5y","y","1","WCN","momentum","59",0,"30",0,0,"A Non-knower","infinity-001","Nonproductive",13,29,29,"no improvement from dce",1,"Nonproductive",16,"Nonproductive","Nonproductive",50,NA,NA,"12","None or partial","No knowledge"
"29",29,NA,"f","english","n",NA,"museum","JC","JC","n",4.17,"4-4.5y","y","1","A1","biggestnumber","none",NA,"7",0,0,"A Non-knower","infinity-001","Nonproductive",13,29,29,"no improvement from dce",1,"Nonproductive",16,"Nonproductive","Nonproductive",50,NA,NA,"12","None or partial","No knowledge"
"30",30,NA,"f","english","n",NA,"museum","JC","JC","n",4.17,"4-4.5y","y","1","B1","isbiggest","no",NA,"yes",0,0,"A Non-knower","infinity-001","Nonproductive",13,29,29,"no improvement from dce",1,"Nonproductive",16,"Nonproductive","Nonproductive",50,NA,NA,"12","None or partial","No knowledge"
"31",31,NA,"f","english","n",NA,"museum","JC","JC","n",4.17,"4-4.5y","y","1","B2","endorforever","forever",NA,"end",0,0,"A Non-knower","infinity-001","Nonproductive",13,29,29,"no improvement from dce",1,"Nonproductive",16,"Nonproductive","Nonproductive",50,NA,NA,"12","None or partial","No knowledge"
"32",32,NA,"f","english","n",NA,"museum","JC","JC","n",4.17,"4-4.5y","y","1","B2","why","justification",NA,"NR",0,0,"A Non-knower","infinity-001","Nonproductive",13,29,29,"no improvement from dce",1,"Nonproductive",16,"Nonproductive","Nonproductive",50,NA,NA,"12","None or partial","No knowledge"
"33",33,NA,"f","english","n",NA,"museum","JC","JC","n",4.17,"4-4.5y","y","1","C1","canweaddtobignumber","yes",NA,"no",0,0,"A Non-knower","infinity-001","Nonproductive",13,29,29,"no improvement from dce",1,"Nonproductive",16,"Nonproductive","Nonproductive",50,NA,NA,"12","None or partial","No knowledge"
"34",34,NA,"f","english","n",NA,"museum","JC","JC","n",4.17,"4-4.5y","y","1","C1","why","justification",NA,"8",0,0,"A Non-knower","infinity-001","Nonproductive",13,29,29,"no improvement from dce",1,"Nonproductive",16,"Nonproductive","Nonproductive",50,NA,NA,"12","None or partial","No knowledge"
"35",35,NA,"f","english","n",NA,"museum","JC","JC","n",4.17,"4-4.5y","y","1","C2","canweadd1tox","yes",NA,"no",0,0,"A Non-knower","infinity-001","Nonproductive",13,29,29,"no improvement from dce",1,"Nonproductive",16,"Nonproductive","Nonproductive",50,NA,NA,"12","None or partial","No knowledge"
"36",36,NA,"f","english","n",NA,"museum","JC","JC","n",4.17,"4-4.5y","y","1","C2","why","justification",NA,"NR",0,0,"A Non-knower","infinity-001","Nonproductive",13,29,29,"no improvement from dce",1,"Nonproductive",16,"Nonproductive","Nonproductive",50,NA,NA,"12","None or partial","No knowledge"
"37",37,NA,"f","english","n",NA,"museum","JC","JC","n",4.17,"4-4.5y","y","1","C3","cankeepadding1","yes",NA,"yes",0,0,"A Non-knower","infinity-001","Nonproductive",13,29,29,"no improvement from dce",1,"Nonproductive",16,"Nonproductive","Nonproductive",50,NA,NA,"12","None or partial","No knowledge"
"38",38,NA,"f","english","n",NA,"museum","JC","JC","n",4.17,"4-4.5y","y","1","C3","why","justification",NA,"NR",0,0,"A Non-knower","infinity-001","Nonproductive",13,29,29,"no improvement from dce",1,"Nonproductive",16,"Nonproductive","Nonproductive",50,NA,NA,"12","None or partial","No knowledge"
"39",39,NA,"f","english","n",NA,"museum","JC","JC","n",4.17,"4-4.5y","y","1","C3","whatwouldhappen","justification",NA,"L, 2",0,0,"A Non-knower","infinity-001","Nonproductive",13,29,29,"no improvement from dce",1,"Nonproductive",16,"Nonproductive","Nonproductive",50,NA,NA,"12","None or partial","No knowledge"
"40",40,NA,"f","english","n",NA,"museum","JC","JC","n",4.17,"4-4.5y","y","1","D1","canyoucounttens","yes",NA,NA,0,0,"A Non-knower","infinity-001","Nonproductive",13,29,29,"no improvement from dce",1,"Nonproductive",16,"Nonproductive","Nonproductive",50,NA,NA,"12","None or partial","No knowledge"
"41",41,NA,"f","english","n",NA,"museum","JC","JC","n",4.17,"4-4.5y","y","1","D2","countingbytens","yes",NA,NA,0,0,"A Non-knower","infinity-001","Nonproductive",13,29,29,"no improvement from dce",1,"Nonproductive",16,"Nonproductive","Nonproductive",50,NA,NA,"12","None or partial","No knowledge"
"42",42,NA,"f","english","n",NA,"museum","JC","JC","n",4.17,"4-4.5y","y","1","D3","tenmorethanten","twenty",NA,NA,0,0,"A Non-knower","infinity-001","Nonproductive",13,29,29,"no improvement from dce",1,"Nonproductive",16,"Nonproductive","Nonproductive",50,NA,NA,"12","None or partial","No knowledge"
"43",43,NA,"f","english","n",NA,"museum","JC","JC","n",4.17,"4-4.5y","y","1","D4","tentwenty","30,40,50..",NA,NA,0,0,"A Non-knower","infinity-001","Nonproductive",13,29,29,"no improvement from dce",1,"Nonproductive",16,"Nonproductive","Nonproductive",50,NA,NA,"12","None or partial","No knowledge"
"44",44,NA,"m","english","y","Spanish","museum","JC","JC","n",4.78,"4.5-5y","y","0","HC","spontaneous","raw",NA,"1-111.",1,0,"B Successor-only","infinity-002","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",57,NA,NA,"91","None or partial","Some knowledge"
"45",45,NA,"m","english","y","Spanish","museum","JC","JC","n",4.78,"4.5-5y","y","0","HC","spontaneous","noerror",NA,"111",1,0,"B Successor-only","infinity-002","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",57,NA,NA,"91","None or partial","Some knowledge"
"46",46,NA,"m","english","y","Spanish","museum","JC","JC","n",4.78,"4.5-5y","y","0","HC","spontaneous","consecutive",NA,"111",1,0,"B Successor-only","infinity-002","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",57,NA,NA,"91","None or partial","Some knowledge"
"47",47,NA,"m","english","y","Spanish","museum","JC","JC","n",4.78,"4.5-5y","y","0","HC","supported","raw",NA,NA,1,0,"B Successor-only","infinity-002","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",57,NA,NA,"91","None or partial","Some knowledge"
"48",48,NA,"m","english","y","Spanish","museum","JC","JC","n",4.78,"4.5-5y","y","0","HC","supported","noerror",NA,NA,1,0,"B Successor-only","infinity-002","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",57,NA,NA,"91","None or partial","Some knowledge"
"49",49,NA,"m","english","y","Spanish","museum","JC","JC","n",4.78,"4.5-5y","y","0","HC","spontaneous","IHC",NA,"111",1,0,"B Successor-only","infinity-002","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",57,NA,NA,"91","None or partial","Some knowledge"
"50",50,NA,"m","english","y","Spanish","museum","JC","JC","n",4.78,"4.5-5y","y","0","HC","spontaneous","decchangeerror",NA,NA,1,0,"B Successor-only","infinity-002","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",57,NA,NA,"91","None or partial","Some knowledge"
"51",51,NA,"m","english","y","Spanish","museum","JC","JC","n",4.78,"4.5-5y","y","0","HC","productivity","classification",NA,"prod",1,0,"B Successor-only","infinity-002","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",57,NA,NA,"91","None or partial","Some knowledge"
"52",52,NA,"m","english","y","Spanish","museum","JC","JC","n",4.78,"4.5-5y","y","0","HC","supported","times",NA,NA,1,0,"B Successor-only","infinity-002","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",57,NA,NA,"91","None or partial","Some knowledge"
"53",53,NA,"m","english","y","Spanish","museum","JC","JC","n",4.78,"4.5-5y","y","0","WCN","practice","1",1,"2",1,0,"B Successor-only","infinity-002","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",57,NA,NA,"91","None or partial","Some knowledge"
"54",54,NA,"m","english","y","Spanish","museum","JC","JC","n",4.78,"4.5-5y","y","0","WCN","practice","5",1,"6",1,0,"B Successor-only","infinity-002","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",57,NA,NA,"91","None or partial","Some knowledge"
"55",55,NA,"m","english","y","Spanish","museum","JC","JC","n",4.78,"4.5-5y","y","0","WCN","immediate","23",1,"24",1,0,"B Successor-only","infinity-002","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",57,NA,NA,"91","None or partial","Some knowledge"
"56",56,NA,"m","english","y","Spanish","museum","JC","JC","n",4.78,"4.5-5y","y","0","WCN","immediate","40",1,"41",1,0,"B Successor-only","infinity-002","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",57,NA,NA,"91","None or partial","Some knowledge"
"57",57,NA,"m","english","y","Spanish","museum","JC","JC","n",4.78,"4.5-5y","y","0","WCN","immediate","62",1,"63",1,0,"B Successor-only","infinity-002","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",57,NA,NA,"91","None or partial","Some knowledge"
"58",58,NA,"m","english","y","Spanish","museum","JC","JC","n",4.78,"4.5-5y","y","0","WCN","immediate","70",1,"71",1,0,"B Successor-only","infinity-002","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",57,NA,NA,"91","None or partial","Some knowledge"
"59",59,NA,"m","english","y","Spanish","museum","JC","JC","n",4.78,"4.5-5y","y","0","WCN","immediate","37",1,"38",1,0,"B Successor-only","infinity-002","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",57,NA,NA,"91","None or partial","Some knowledge"
"60",60,NA,"m","english","y","Spanish","museum","JC","JC","n",4.78,"4.5-5y","y","0","WCN","immediate","29",1,"30",1,0,"B Successor-only","infinity-002","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",57,NA,NA,"91","None or partial","Some knowledge"
"61",61,NA,"m","english","y","Spanish","museum","JC","JC","n",4.78,"4.5-5y","y","0","WCN","immediate","86",1,"87",1,0,"B Successor-only","infinity-002","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",57,NA,NA,"91","None or partial","Some knowledge"
"62",62,NA,"m","english","y","Spanish","museum","JC","JC","n",4.78,"4.5-5y","y","0","WCN","immediate","59",1,"60",1,0,"B Successor-only","infinity-002","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",57,NA,NA,"91","None or partial","Some knowledge"
"63",63,NA,"m","english","y","Spanish","museum","JC","JC","n",4.78,"4.5-5y","y","0","WCN","momentum","3",NA,NA,1,0,"B Successor-only","infinity-002","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",57,NA,NA,"91","None or partial","Some knowledge"
"64",64,NA,"m","english","y","Spanish","museum","JC","JC","n",4.78,"4.5-5y","y","0","WCN","momentum","23",NA,NA,1,0,"B Successor-only","infinity-002","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",57,NA,NA,"91","None or partial","Some knowledge"
"65",65,NA,"m","english","y","Spanish","museum","JC","JC","n",4.78,"4.5-5y","y","0","WCN","momentum","40",NA,NA,1,0,"B Successor-only","infinity-002","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",57,NA,NA,"91","None or partial","Some knowledge"
"66",66,NA,"m","english","y","Spanish","museum","JC","JC","n",4.78,"4.5-5y","y","0","WCN","momentum","62",NA,NA,1,0,"B Successor-only","infinity-002","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",57,NA,NA,"91","None or partial","Some knowledge"
"67",67,NA,"m","english","y","Spanish","museum","JC","JC","n",4.78,"4.5-5y","y","0","WCN","momentum","70",NA,NA,1,0,"B Successor-only","infinity-002","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",57,NA,NA,"91","None or partial","Some knowledge"
"68",68,NA,"m","english","y","Spanish","museum","JC","JC","n",4.78,"4.5-5y","y","0","WCN","momentum","37",NA,NA,1,0,"B Successor-only","infinity-002","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",57,NA,NA,"91","None or partial","Some knowledge"
"69",69,NA,"m","english","y","Spanish","museum","JC","JC","n",4.78,"4.5-5y","y","0","WCN","momentum","29",NA,NA,1,0,"B Successor-only","infinity-002","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",57,NA,NA,"91","None or partial","Some knowledge"
"70",70,NA,"m","english","y","Spanish","museum","JC","JC","n",4.78,"4.5-5y","y","0","WCN","momentum","86",NA,NA,1,0,"B Successor-only","infinity-002","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",57,NA,NA,"91","None or partial","Some knowledge"
"71",71,NA,"m","english","y","Spanish","museum","JC","JC","n",4.78,"4.5-5y","y","0","WCN","momentum","59",NA,NA,1,0,"B Successor-only","infinity-002","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",57,NA,NA,"91","None or partial","Some knowledge"
"72",72,NA,"m","english","y","Spanish","museum","JC","JC","n",4.78,"4.5-5y","y","0","A1","biggestnumber",NA,NA,"one hundred hundreds",1,0,"B Successor-only","infinity-002","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",57,NA,NA,"91","None or partial","Some knowledge"
"73",73,NA,"m","english","y","Spanish","museum","JC","JC","n",4.78,"4.5-5y","y","0","B1","isbiggest",NA,NA,"IDK [Can you think of a bigger number?] Fifty three seventy one one thousand. [Is that the biggest number there could ever be?] nine thousand forty one fifty three. [Is that the biggest number there could ever be?] yes",1,0,"B Successor-only","infinity-002","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",57,NA,NA,"91","None or partial","Some knowledge"
"74",74,NA,"m","english","y","Spanish","museum","JC","JC","n",4.78,"4.5-5y","y","0","B2","endorforever",NA,NA,"forever",1,0,"B Successor-only","infinity-002","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",57,NA,NA,"91","None or partial","Some knowledge"
"75",75,NA,"m","english","y","Spanish","museum","JC","JC","n",4.78,"4.5-5y","y","0","B2","why","justification",NA,"idk",1,0,"B Successor-only","infinity-002","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",57,NA,NA,"91","None or partial","Some knowledge"
"76",76,NA,"m","english","y","Spanish","museum","JC","JC","n",4.78,"4.5-5y","y","0","C1","canweaddtobignumber",NA,NA,"yes",1,0,"B Successor-only","infinity-002","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",57,NA,NA,"91","None or partial","Some knowledge"
"77",77,NA,"m","english","y","Spanish","museum","JC","JC","n",4.78,"4.5-5y","y","0","C1","why","justification",NA,"NR",1,0,"B Successor-only","infinity-002","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",57,NA,NA,"91","None or partial","Some knowledge"
"78",78,NA,"m","english","y","Spanish","museum","JC","JC","n",4.78,"4.5-5y","y","0","C2","canweadd1tox",NA,NA,"yes",1,0,"B Successor-only","infinity-002","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",57,NA,NA,"91","None or partial","Some knowledge"
"79",79,NA,"m","english","y","Spanish","museum","JC","JC","n",4.78,"4.5-5y","y","0","C2","why","justification",NA,"NR",1,0,"B Successor-only","infinity-002","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",57,NA,NA,"91","None or partial","Some knowledge"
"80",80,NA,"m","english","y","Spanish","museum","JC","JC","n",4.78,"4.5-5y","y","0","C3","cankeepadding1",NA,NA,"yes",1,0,"B Successor-only","infinity-002","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",57,NA,NA,"91","None or partial","Some knowledge"
"81",81,NA,"m","english","y","Spanish","museum","JC","JC","n",4.78,"4.5-5y","y","0","C3","why","justification",NA,"NR",1,0,"B Successor-only","infinity-002","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",57,NA,NA,"91","None or partial","Some knowledge"
"82",82,NA,"m","english","y","Spanish","museum","JC","JC","n",4.78,"4.5-5y","y","0","C3","whatwouldhappen","justification",NA,"Get the biggest number in the world",1,0,"B Successor-only","infinity-002","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",57,NA,NA,"91","None or partial","Some knowledge"
